City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
248,Pascagoula,US,30.3658,-88.5561,46.45,93,0,0.0,clear sky
249,Sinnamary,GF,5.3833,-52.95,78.89,87,35,9.28,scattered clouds
250,Morges,CH,46.5113,6.4985,60.22,94,81,3.11,broken clouds
251,Mayya,RU,61.7333,130.2811,25.92,91,100,9.62,light snow
252,Buala,SB,-8.145,159.5921,85.48,71,71,6.87,light rain
253,Mormugao,IN,15.4,73.8,81.66,83,40,3.44,scattered clouds
254,Saldanha,ZA,-33.0117,17.9442,50.05,88,23,8.08,few clouds
255,Mae Sai,TH,20.4335,99.8762,83.46,39,0,2.21,clear sky
256,Kobryn,BY,52.2138,24.3564,36.03,84,8,8.23,clear sky
257,Samarai,PG,-10.6167,150.6667,85.53,68,85,13.58,overcast clouds
258,Suicheng,CN,33.8963,117.9331,67.98,36,52,14.0,broken clouds
259,Coos Bay,US,43.3665,-124.2179,54.99,99,20,6.91,mist
260,Hay River,CA,60.8156,-115.7999,51.78,62,20,11.5,few clouds
261,Deputatskiy,RU,69.3,139.9,-0.26,86,11,5.48,few clouds
262,Deder,ET,9.3167,41.45,57.49,57,13,1.68,few clouds
263,Airai,TL,-8.9266,125.4092,76.51,59,93,1.23,overcast clouds
264,Yekaterinoslavka,RU,50.3734,129.1139,46.49,44,23,8.48,few clouds
265,Yaan,NG,7.3833,8.5667,72.91,94,100,4.45,overcast clouds
266,Seoul,KR,37.5683,126.9778,62.2,39,0,3.44,clear sky
267,Asosa,ET,10.0667,34.5333,59.27,89,40,4.03,scattered clouds
268,Codrington,AU,-38.2667,141.9667,65.79,71,1,12.71,clear sky
269,San Quintin,MX,30.4833,-115.95,72.57,66,38,3.15,scattered clouds
270,Baijiantan,CN,45.6333,85.1833,56.34,33,100,20.04,overcast clouds
271,Mirabad,AF,30.4362,61.8383,65.34,30,0,17.07,clear sky
272,Muli,MV,2.9167,73.5667,81.41,77,91,12.39,overcast clouds
273,Kitui,KE,-1.367,38.0106,60.78,82,97,7.31,overcast clouds
274,Beringovskiy,RU,63.05,179.3167,35.8,87,34,8.1,scattered clouds
